,index,channel_subCount,channel_viewCount,title_on_youtube,up_time,log_view,y
2777,2777,6,988,ballad of a girl named nothing,1147,3.8918202981106265,0
2778,2778,583,85833,physical control,1001,5.4680601411351315,0
2779,2779,173378,57623866,slave,899,11.749648397724878,0
2780,2780,1848,1449467,amor imposible,147,9.155250405658222,0
2781,2781,1886,1224924,mafioso adinerado,222,8.810757927026174,0
2782,2782,388,17840,no te dije nada,669,4.890349128221754,0
2783,2783,12371,14413622,conversations with my wife,60,10.42302511690414,0
2784,2784,13,23401,hawaiian memories - part 2,1395,6.066108090103747,0
2785,2785,43297,28097495,out of our lives,451,1.3862943611198906,0
2786,2786,274,151635,indian orchard road,298,7.338238150065589,0
2787,2787,8,13830,chitekete,1428,5.863631175598097,0
2788,2788,33962,27846437,there is no food,807,7.312553498102598,0
2789,2789,22,83159,trinity (mix cut) (sound quelle & max meyer remix),138,9.422058905620926,0
2790,2790,3248,1739789,the distance,61,12.936595087444253,0
2791,2791,10,14123,mariquiqui,1308,8.264620829411216,0
2792,2792,9,22556,sick,1453,0.6931471805599453,0
2793,2793,3977,552304,guarachando,1487,4.997212273764115,0
2794,2794,82603,36350123,michael ray - kiss you in the morning (official video),1292,15.605706305216147,0
2795,2795,13,191951,hold my calls,200,7.207118856207756,0
2796,2796,63979,34576252,stay (explicit),691,10.817515726756024,0
2797,2797,184165,31352194,back home,1076,11.898711538144362,0
2798,2798,6108,6760273,scum - hardkandy - second to none,1767,8.078688229229872,0
2799,2799,357687,120914120,truce,690,12.700750594516041,0
2800,2800,1,12852,through the fire,1365,6.78897174299217,0
2801,2801,54444,32943268,parmalee - mimosas (official audio),514,9.95237295026594,0
2802,2802,13209,1710086,coucou,1500,7.855932199718614,0
2803,2803,471901,296049989,riva starr 'raw feel',1057,10.882696743956457,0
2804,2804,32387,33220223,you can't sit still,1882,5.560681631015528,0
2805,2805,4141140,2743619040,atb - pages (feat. haliene) [taken from 'next'],605,12.20376498492843,0
2806,2806,1,6254,everything's so stupid! (abadala),398,7.085064293952548,0
2807,2807,7264,620400,brigas nunca mais,711,6.54965074223381,0
2808,2808,3296,616396,by the way (feat. andy hull),97,8.106816038947052,0
2809,2809,160,35807,because i love you (re-edit),1241,5.318119993844216,0
2810,2810,19707,11109278,it wasn't me,643,9.744198694852747,0
2811,2811,35272,9282730,i count the minutes,1223,8.440744019252831,0
2812,2812,11737635,3099815134,lexxmatiq x beau di angelo - atshaan,1688,12.406291420709916,0
2813,2813,1,284,musical murder,1010,0.6931471805599453,0
2814,2814,354,205467,אהבה שקטה - תמוז,1156,9.438829609615144,0
2815,2815,5077,92760,501 - inside the machine,1889,8.28121766128665,0
2816,2816,62966,32398429,tom wax & strobe - thora thora,1630,10.32236234755421,0
2817,2817,64348,30341809,orishas - gracias (audio),206,12.018959628000088,0
2818,2818,2,149,dia tras dia,1395,1.9459101490553132,0
2819,2819,209,54497,distorted views,1015,5.541263545158426,0
2820,2820,2458,2120039,six feet away,691,9.043577154098081,0
2821,2821,216,11640,that's nice,193,6.142037405587356,0
2822,2822,589991,243256080,drug ballad,674,10.428630196896911,0
2823,2823,378,67464,we go up,138,3.4339872044851463,0
2824,2824,6,2025,angel wings,529,3.970291913552122,0
2825,2825,104,29435,i dreamed i was lola beltrán,1032,7.904703913873747,0
2826,2826,57144,10514504,sumos (extended mix),437,9.317579122645782,0
2827,2827,216,125445,baby won't you turn me on,409,7.024649030453636,0
2828,2828,2284800,640732520,9. hopsin - (no shame)  i must be on somethin,388,12.656456943180046,0
2829,2829,234388,101443316,"bebel gilberto - ""mais feliz"" (ao vivo) - ""bebel gilberto in rio""",1103,10.511648576689398,0
2830,2830,772,1477140,angelique kidjo (feat. peter gabriel) - salala,3331,12.632147244874727,0
2831,2831,1474256,761691663,lp - strange [audio],916,15.482980935477556,0
2832,2832,270,60903,adam rickfors & philip oakleaves - higher feat. t-birch (original mix),701,7.896924656268864,0
2833,2833,302,93132,sex beat,1568,4.418840607796598,0
2834,2834,8,5506,white trash,207,5.7430031878094825,0
2835,2835,288,87299,if i had a talking picture of you,690,2.8903717578961645,0
2836,2836,13769,16645051,molly o'day - traveling the highway home (c.1961).,2716,9.380673689458071,0
2837,2837,933,265021,riiiot! (feat. ras kass),1488,8.37816098272068,0
2838,2838,14084,2764947,closer,532,11.46216886863977,0
2839,2839,340,11710,chéri,390,4.8283137373023015,0
2840,2840,1176,304278,la piragua,1017,4.983606621708336,0
2841,2841,41,14014,pretty girl anthem (feat. peppermint),284,5.272999558563747,0
2842,2842,513619,147698423,grand piano,666,12.818760573340393,0
2843,2843,19037,12985675,the silk demise - kathulu,2722,6.839476438228843,0
2844,2844,342,234748,kol berama,1271,8.73985662749357,0
2845,2845,275,53405,chasing ghosts,145,7.798112628829788,0
2846,2846,2,4546,self doubt interlude (chopnotslop),398,5.153291594497779,0
2847,2847,53,158482,mama used to say (british party mix),690,5.8522024797744745,0
2848,2848,107987,157467519,niggaz know,1502,12.100417642070626,0
2849,2849,160,28440,5 kilo,231,2.9444389791664403,0
2850,2850,149,21942,in the blood (feat. alison limerick),665,2.5649493574615367,0
2851,2851,114,80843,got that feeling,164,9.134214981586691,0
2852,2852,786,470040,intro,690,9.003316202541857,0
2853,2853,7,654,the minetta triangle,1247,2.8903717578961645,0
2854,2854,48,5666,grade a (original mix),539,2.833213344056216,0
2855,2855,29717439,14320515987,the chainsmokers & kelsea ballerini's world premiere of 'this feeling',82,13.673420357298054,0
2856,2856,556,125785,bisou magique,691,9.01225522000275,0
2857,2857,2916,2235508,make sure you've got it all,1500,7.724004656676065,0
2858,2858,68,11098,justin time - roller coaster (live),2338,5.780743515792329,0
2859,2859,2,24404,be like mike dream feat. reena lynn,1136,3.5263605246161616,0
2860,2860,7110,3256379,the promise,648,10.64965403707171,0
2861,2861,8772,4013063,last memory,53,14.041660784696436,0
2862,2862,12501,23090486,mantra,214,12.250945623725077,0
2863,2863,23,456075,son del cora,971,10.44813472477763,0
2864,2864,1014056,206660434,hiiipower,1065,13.660523194881845,0
2865,2865,172882,87240275,maxo kream - work (punken),340,12.957840087576612,0
2866,2866,34727,46127938,jordan davis - so do i (audio),269,12.33249382035955,0
2867,2867,32,21708,soldier (feat. t man),374,3.9889840465642745,0
2868,2868,0,788,crown of stars,509,2.9444389791664403,0
2869,2869,41,7729,meltdown,1157,3.4011973816621555,0
2870,2870,111,104759,andy duguid - on the edge,1906,9.594990340370426,0
2871,2871,94,23970,back to earth,320,4.174387269895637,0
2872,2872,202,72605,you suck,1500,6.71901315438526,0
2873,2873,1,250,vuela paloma,31,2.995732273553991,0
2874,2874,109106,90903274,diogo nogueira - deus é mais (live),2898,13.220884759411899,0
2875,2875,2098,870911,i'm a wanted man,1023,12.193139370118274,0
2876,2876,817,123792,muyenga,701,4.820281565605037,0
2877,2877,7972,3847689,one more time,691,9.147294070258548,0
2878,2878,1615,1033217,drifting,46,8.311889558230359,0
2879,2879,19,4505,i won't wait,1697,2.5649493574615367,0
2880,2880,73591,12080814,social club misfits - lucky (audio),367,11.549016285114583,0
2881,2881,2091824,1380866520,10. zion ft. jowell y randy - cuarta nivel (audio oficial) [the perfect melody],866,11.358724783892928,0
2882,2882,111,51684,when you're not mine,691,4.248495242049359,0
2883,2883,23831,20033001,bear mccreary - memories of mother (audio),241,8.854379458771108,0
2884,2884,404492,600039325,"billy joel, hyung-ki joo - waltz # 1 (nunley's carousel) (audio)",2084,10.369075195651924,0
2885,2885,241,158868,i'll meet you on the other side of the morning,1487,5.10594547390058,0
2886,2886,418,72510,a sea of roses,172,7.045776576879511,0
2887,2887,34749,36945346,debtors' prison,550,7.160845906664299,0
2888,2888,428,160967,red lace lingerie (explicit),1122,7.02108396428914,0
2889,2889,304,257483,foreigner,249,9.828602355344339,0
2890,2890,10,2870,night life (2010),1148,4.499809670330265,0
2891,2891,94,19110,ume,1392,7.454719949364001,0
2892,2892,144,17366,shackleton,1475,4.859812404361672,0
2893,2893,210535,77203998,don diablo & matt nash - starlight (could you be mine) (original),1970,15.102959246785181,0
2894,2894,12,178878,ralanti (feat. oswald),219,9.831239388328504,0
2895,2895,1009,206475,makeba,767,5.8664680569332965,0
2896,2896,30389,29310226,tomorrow always arrives,1273,4.465908118654584,0
2897,2897,68060,54394353,dolly parton - you can do it (audio),444,8.305236829492593,0
2898,2898,43228,15738875,william fitzsimmons - pittsburgh [live performance video],1358,11.370336028999896,0
2899,2899,42,2101,nathan colberg - calm (official audio),221,7.384610383176974,0
2900,2900,143855,30816312,nobody like you,760,12.426388201833337,0
2901,2901,7539,10612671,sweet chick (feat. bj the chicago kid),32,11.549662326686201,0
2902,2902,882372,514103711,a$ap ferg - nasty (who dat) (audio) ft. migos,493,14.78684916695065,0
2903,2903,13298,4189857,steve moakler | one more troubadour (official audio),185,7.897296472595885,0
2904,2904,11519,4658781,hercules,1502,10.653534780228885,0
2905,2905,38,26325,white light,781,5.953243334287785,0
2906,2906,223626,3700268,zach williams - home (official audio),458,11.52979241483,0
2907,2907,3705,1605070,corazón rendido,472,9.323222529032856,0
2908,2908,108,65620,sliver of change,368,7.434847875211999,0
2909,2909,152,16718,tuma (no food for the lazy man),1488,6.075346031088684,0
2910,2910,162,23565,candongueiro,1536,6.234410725718371,0
2911,2911,2086,841505,runnin' out,377,11.380387864085359,0
2912,2912,39638,30890663,golden parachute,137,7.247792581767846,0
